src,dst,cost
ap-northeast-2,me-central-1,0.08
ap-northeast-2,sa-east-1,0.08
ap-northeast-2,us-east-1,0.08
ap-northeast-2,us-east-2,0.08
ap-northeast-2,us-west-1,0.08
ap-northeast-2,us-west-2,0.08
ap-southeast-1,internet,0.12
ap-southeast-1,us-gov-east-1,0.09
ap-southeast-1,af-south-1,0.09
ap-southeast-1,ap-east-1,0.09
ap-southeast-1,ap-southeast-3,0.09
ap-southeast-1,ap-south-1,0.09
ap-southeast-1,ap-northeast-3,0.09
ap-southeast-1,ap-northeast-2,0.09
ap-southeast-1,ap-southeast-2,0.09
ap-southeast-1,ap-northeast-1,0.09
ap-southeast-1,ca-central-1,0.09
ap-southeast-1,eu-central-1,0.09
ap-southeast-1,eu-west-1,0.09
ap-southeast-1,eu-west-2,0.09
ap-southeast-1,eu-south-1,0.09
ap-southeast-1,eu-west-3,0.09
ap-southeast-1,eu-south-2,0.09
ap-southeast-1,eu-north-1,0.09
ap-southeast-1,eu-central-2,0.09
ap-southeast-1,me-south-1,0.09
ap-southeast-1,me-central-1,0.09
ap-southeast-1,sa-east-1,0.09
ap-southeast-1,us-east-1,0.09
ap-southeast-1,us-east-2,0.09
ap-southeast-1,us-west-1,0.09
ap-southeast-1,us-west-2,0.09
ap-southeast-2,internet,0.114
ap-southeast-2,us-gov-east-1,0.098
ap-southeast-2,af-south-1,0.098
ap-southeast-2,ap-east-1,0.098
ap-southeast-2,ap-southeast-3,0.098
ap-southeast-2,ap-south-1,0.098
ap-southeast-2,ap-northeast-3,0.098
ap-southeast-2,ap-northeast-2,0.098
ap-southeast-2,ap-southeast-1,0.098
ap-southeast-2,ap-northeast-1,0.098
ap-southeast-2,ca-central-1,0.098
ap-southeast-2,eu-central-1,0.098
ap-southeast-2,eu-west-1,0.098
ap-southeast-2,eu-west-2,0.098
ap-southeast-2,eu-south-1,0.098
ap-southeast-2,eu-west-3,0.098
ap-southeast-2,eu-south-2,0.098
ap-southeast-2,eu-north-1,0.098
ap-southeast-2,eu-central-2,0.098
ap-southeast-2,me-south-1,0.098
ap-southeast-2,me-central-1,0.098
ap-southeast-2,sa-east-1,0.098
ap-southeast-2,us-east-1,0.098
ap-southeast-2,us-east-2,0.098
ap-southeast-2,us-west-1,0.098
ap-southeast-2,us-west-2,0.098
ap-northeast-1,internet,0.114
ap-northeast-1,us-gov-east-1,0.09
ap-northeast-1,af-south-1,0.09
ap-northeast-1,ap-east-1,0.09
ap-northeast-1,ap-southeast-3,0.09
ap-northeast-1,ap-south-1,0.09
ap-northeast-1,ap-northeast-3,0.09
ap-northeast-1,ap-northeast-2,0.09
ap-northeast-1,ap-southeast-1,0.09
ap-northeast-1,ap-southeast-2,0.09
ap-northeast-1,ca-central-1,0.09
ap-northeast-1,eu-central-1,0.09
ap-northeast-1,eu-west-1,0.09
ap-northeast-1,eu-west-2,0.09
ap-northeast-1,eu-south-1,0.09
ap-northeast-1,eu-west-3,0.09
ap-northeast-1,eu-south-2,0.09
ap-northeast-1,eu-north-1,0.09
ap-northeast-1,eu-central-2,0.09
ap-northeast-1,me-south-1,0.09
ap-northeast-1,me-central-1,0.09
ap-northeast-1,sa-east-1,0.09
ap-northeast-1,us-east-1,0.09
ap-northeast-1,us-east-2,0.09
ap-northeast-1,us-west-1,0.09
ap-northeast-1,us-west-2,0.09
ca-central-1,internet,0.09
ca-central-1,us-gov-east-1,0.02
ca-central-1,af-south-1,0.02
ca-central-1,ap-east-1,0.02
ca-central-1,ap-southeast-3,0.02
ca-central-1,ap-south-1,0.02
ca-central-1,ap-northeast-3,0.02
ca-central-1,ap-northeast-2,0.02
ca-central-1,ap-southeast-1,0.02
ca-central-1,ap-southeast-2,0.02
ca-central-1,ap-northeast-1,0.02
ca-central-1,eu-central-1,0.02
ca-central-1,eu-west-1,0.02
ca-central-1,eu-west-2,0.02
ca-central-1,eu-south-1,0.02
ca-central-1,eu-west-3,0.02
ca-central-1,eu-south-2,0.02
ca-central-1,eu-north-1,0.02
ca-central-1,eu-central-2,0.02
ca-central-1,me-south-1,0.02
ca-central-1,me-central-1,0.02
ca-central-1,sa-east-1,0.02
ca-central-1,us-east-1,0.02
ca-central-1,us-east-2,0.02
ca-central-1,us-west-1,0.02
ca-central-1,us-west-2,0.02
eu-central-1,internet,0.09
eu-central-1,us-gov-east-1,0.02
eu-central-1,af-south-1,0.02
eu-central-1,ap-east-1,0.02
eu-central-1,ap-southeast-3,0.02
eu-central-1,ap-south-1,0.02
eu-central-1,ap-northeast-3,0.02
eu-central-1,ap-northeast-2,0.02
eu-central-1,ap-southeast-1,0.02
eu-central-1,ap-southeast-2,0.02
eu-central-1,ap-northeast-1,0.02
eu-central-1,ca-central-1,0.02
eu-central-1,eu-west-1,0.02
eu-central-1,eu-west-2,0.02
eu-central-1,eu-south-1,0.02
eu-central-1,eu-west-3,0.02
eu-central-1,eu-south-2,0.02
eu-central-1,eu-north-1,0.02
eu-central-1,eu-central-2,0.02
eu-central-1,me-south-1,0.02
eu-central-1,me-central-1,0.02
eu-central-1,sa-east-1,0.02
eu-central-1,us-east-1,0.02
eu-central-1,us-east-2,0.02
eu-central-1,us-west-1,0.02
eu-central-1,us-west-2,0.02
eu-west-1,internet,0.09
eu-west-1,us-gov-east-1,0.02
eu-west-1,af-south-1,0.02
eu-west-1,ap-east-1,0.02
eu-west-1,ap-southeast-3,0.02
eu-west-1,ap-south-1,0.02
eu-west-1,ap-northeast-3,0.02
eu-west-1,ap-northeast-2,0.02
eu-west-1,ap-southeast-1,0.02
eu-west-1,ap-southeast-2,0.02
eu-west-1,ap-northeast-1,0.02
eu-west-1,ca-central-1,0.02
eu-west-1,eu-central-1,0.02
eu-west-1,eu-west-2,0.02
eu-west-1,eu-south-1,0.02
eu-west-1,eu-west-3,0.02
eu-west-1,eu-south-2,0.02
eu-west-1,eu-north-1,0.02
eu-west-1,eu-central-2,0.02
eu-west-1,me-south-1,0.02
eu-west-1,me-central-1,0.02
eu-west-1,sa-east-1,0.02
eu-west-1,us-east-1,0.02
eu-west-1,us-east-2,0.02
eu-west-1,us-west-1,0.02
eu-west-1,us-west-2,0.02
eu-west-2,internet,0.09
eu-west-2,us-gov-east-1,0.02
eu-west-2,af-south-1,0.02
eu-west-2,ap-east-1,0.02
eu-west-2,ap-southeast-3,0.02
eu-west-2,ap-south-1,0.02
eu-west-2,ap-northeast-3,0.02
eu-west-2,ap-northeast-2,0.02
eu-west-2,ap-southeast-1,0.02
eu-west-2,ap-southeast-2,0.02
eu-west-2,ap-northeast-1,0.02
eu-west-2,ca-central-1,0.02
eu-west-2,eu-central-1,0.02
eu-west-2,eu-west-1,0.02
eu-west-2,eu-south-1,0.02
eu-west-2,eu-west-3,0.02
eu-west-2,eu-south-2,0.02
eu-west-2,eu-north-1,0.02
eu-west-2,eu-central-2,0.02
eu-west-2,me-south-1,0.02
eu-west-2,me-central-1,0.02
eu-west-2,sa-east-1,0.02
eu-west-2,us-east-1,0.02
eu-west-2,us-east-2,0.02
eu-west-2,us-west-1,0.02
eu-west-2,us-west-2,0.02
eu-south-1,internet,0.09
eu-south-1,us-gov-east-1,0.02
eu-south-1,af-south-1,0.02
eu-south-1,ap-east-1,0.02
eu-south-1,ap-southeast-3,0.02
eu-south-1,ap-south-1,0.02
eu-south-1,ap-northeast-3,0.02
eu-south-1,ap-northeast-2,0.02
eu-south-1,ap-southeast-1,0.02
eu-south-1,ap-southeast-2,0.02
eu-south-1,ap-northeast-1,0.02
eu-south-1,ca-central-1,0.02
eu-south-1,eu-central-1,0.02
eu-south-1,eu-west-1,0.02
eu-south-1,eu-west-2,0.02
eu-south-1,eu-west-3,0.02
eu-south-1,eu-south-2,0.02
eu-south-1,eu-north-1,0.02
eu-south-1,eu-central-2,0.02
eu-south-1,me-south-1,0.02
eu-south-1,me-central-1,0.02
eu-south-1,sa-east-1,0.02
eu-south-1,us-east-1,0.02
eu-south-1,us-east-2,0.02
eu-south-1,us-west-1,0.02
eu-south-1,us-west-2,0.02
eu-west-3,internet,0.09
eu-west-3,us-gov-east-1,0.02
eu-west-3,af-south-1,0.02
eu-west-3,ap-east-1,0.02
eu-west-3,ap-southeast-3,0.02
eu-west-3,ap-south-1,0.02
eu-west-3,ap-northeast-3,0.02
eu-west-3,ap-northeast-2,0.02
eu-west-3,ap-southeast-1,0.02
eu-west-3,ap-southeast-2,0.02
eu-west-3,ap-northeast-1,0.02
eu-west-3,ca-central-1,0.02
eu-west-3,eu-central-1,0.02
eu-west-3,eu-west-1,0.02
eu-west-3,eu-west-2,0.02
eu-west-3,eu-south-1,0.02
eu-west-3,eu-south-2,0.02
eu-west-3,eu-north-1,0.02
eu-west-3,eu-central-2,0.02
eu-west-3,me-south-1,0.02
eu-west-3,me-central-1,0.02
eu-west-3,sa-east-1,0.02
eu-west-3,us-east-1,0.02
eu-west-3,us-east-2,0.02
eu-west-3,us-west-1,0.02
eu-west-3,us-west-2,0.02
eu-south-2,internet,0.09
eu-south-2,us-gov-east-1,0.02
eu-south-2,af-south-1,0.02
eu-south-2,ap-east-1,0.02
eu-south-2,ap-southeast-3,0.02
eu-south-2,ap-south-1,0.02
eu-south-2,ap-northeast-3,0.02
eu-south-2,ap-northeast-2,0.02
eu-south-2,ap-southeast-1,0.02
eu-south-2,ap-southeast-2,0.02
eu-south-2,ap-northeast-1,0.02
eu-south-2,ca-central-1,0.02
eu-south-2,eu-central-1,0.02
eu-south-2,eu-west-1,0.02
eu-south-2,eu-west-2,0.02
eu-south-2,eu-south-1,0.02
eu-south-2,eu-west-3,0.02
eu-south-2,eu-north-1,0.02
eu-south-2,eu-central-2,0.02
eu-south-2,me-south-1,0.02
eu-south-2,me-central-1,0.02
eu-south-2,sa-east-1,0.02
eu-south-2,us-east-1,0.02
eu-south-2,us-east-2,0.02
eu-south-2,us-west-1,0.02
eu-south-2,us-west-2,0.02
eu-north-1,internet,0.09
eu-north-1,us-gov-east-1,0.02
eu-north-1,af-south-1,0.02
eu-north-1,ap-east-1,0.02
eu-north-1,ap-southeast-3,0.02
eu-north-1,ap-south-1,0.02
eu-north-1,ap-northeast-3,0.02
eu-north-1,ap-northeast-2,0.02
eu-north-1,ap-southeast-1,0.02
eu-north-1,ap-southeast-2,0.02
eu-north-1,ap-northeast-1,0.02
eu-north-1,ca-central-1,0.02
eu-north-1,eu-central-1,0.02
eu-north-1,eu-west-1,0.02
eu-north-1,eu-west-2,0.02
eu-north-1,eu-south-1,0.02
eu-north-1,eu-west-3,0.02
eu-north-1,eu-south-2,0.02
eu-north-1,eu-central-2,0.02
eu-north-1,me-south-1,0.02
eu-north-1,me-central-1,0.02
eu-north-1,sa-east-1,0.02
eu-north-1,us-east-1,0.02
eu-north-1,us-east-2,0.02
eu-north-1,us-west-1,0.02
eu-north-1,us-west-2,0.02
eu-central-2,internet,0.09
eu-central-2,us-gov-east-1,0.02
eu-central-2,af-south-1,0.02
eu-central-2,ap-east-1,0.02
eu-central-2,ap-southeast-3,0.02
eu-central-2,ap-south-1,0.02
eu-central-2,ap-northeast-3,0.02
eu-central-2,ap-northeast-2,0.02
eu-central-2,ap-southeast-1,0.02
eu-central-2,ap-southeast-2,0.02
eu-central-2,ap-northeast-1,0.02
eu-central-2,ca-central-1,0.02
eu-central-2,eu-central-1,0.02
eu-central-2,eu-west-1,0.02
eu-central-2,eu-west-2,0.02
eu-central-2,eu-south-1,0.02
eu-central-2,eu-west-3,0.02
eu-central-2,eu-south-2,0.02
eu-central-2,eu-north-1,0.02
eu-central-2,me-south-1,0.02
eu-central-2,me-central-1,0.02
eu-central-2,sa-east-1,0.02
eu-central-2,us-east-1,0.02
eu-central-2,us-east-2,0.02
eu-central-2,us-west-1,0.02
eu-central-2,us-west-2,0.02
me-south-1,internet,0.117
me-south-1,us-gov-east-1,0.1105
me-south-1,af-south-1,0.1105
me-south-1,ap-east-1,0.1105
me-south-1,ap-southeast-3,0.1105
me-south-1,ap-south-1,0.1105
me-south-1,ap-northeast-3,0.1105
me-south-1,ap-northeast-2,0.1105
me-south-1,ap-southeast-1,0.1105
me-south-1,ap-southeast-2,0.1105
me-south-1,ap-northeast-1,0.1105
me-south-1,ca-central-1,0.1105
me-south-1,eu-central-1,0.1105
me-south-1,eu-west-1,0.1105
me-south-1,eu-west-2,0.1105
me-south-1,eu-south-1,0.1105
me-south-1,eu-west-3,0.1105
me-south-1,eu-south-2,0.1105
me-south-1,eu-north-1,0.1105
me-south-1,eu-central-2,0.1105
me-south-1,me-central-1,0.1105
me-south-1,sa-east-1,0.1105
me-south-1,us-east-1,0.1105
me-south-1,us-east-2,0.1105
me-south-1,us-west-1,0.1105
me-south-1,us-west-2,0.1105
me-central-1,internet,0.11
me-central-1,us-gov-east-1,0.085
me-central-1,af-south-1,0.085
me-central-1,ap-east-1,0.085
me-central-1,ap-southeast-3,0.085
me-central-1,ap-south-1,0.085
me-central-1,ap-northeast-3,0.085
me-central-1,ap-northeast-2,0.085
me-central-1,ap-southeast-1,0.085
me-central-1,ap-southeast-2,0.085
me-central-1,ap-northeast-1,0.085
me-central-1,ca-central-1,0.085
me-central-1,eu-central-1,0.085
me-central-1,eu-west-1,0.085
me-central-1,eu-west-2,0.085
me-central-1,eu-south-1,0.085
me-central-1,eu-west-3,0.085
me-central-1,eu-south-2,0.085
me-central-1,eu-north-1,0.085
me-central-1,eu-central-2,0.085
me-central-1,me-south-1,0.085
me-central-1,sa-east-1,0.085
me-central-1,us-east-1,0.085
me-central-1,us-east-2,0.085
me-central-1,us-west-1,0.085
me-central-1,us-west-2,0.085
sa-east-1,internet,0.15
sa-east-1,us-gov-east-1,0.138
sa-east-1,af-south-1,0.138
sa-east-1,ap-east-1,0.138
sa-east-1,ap-southeast-3,0.138
sa-east-1,ap-south-1,0.138
sa-east-1,ap-northeast-3,0.138
sa-east-1,ap-northeast-2,0.138
sa-east-1,ap-southeast-1,0.138
sa-east-1,ap-southeast-2,0.138
sa-east-1,ap-northeast-1,0.138
sa-east-1,ca-central-1,0.138
sa-east-1,eu-central-1,0.138
sa-east-1,eu-west-1,0.138
sa-east-1,eu-west-2,0.138
sa-east-1,eu-south-1,0.138
sa-east-1,eu-west-3,0.138
sa-east-1,eu-south-2,0.138
sa-east-1,eu-north-1,0.138
sa-east-1,eu-central-2,0.138
sa-east-1,me-south-1,0.138
sa-east-1,me-central-1,0.138
sa-east-1,us-east-1,0.138
sa-east-1,us-east-2,0.138
sa-east-1,us-west-1,0.138
sa-east-1,us-west-2,0.138
us-east-1,internet,0.09
us-east-1,us-gov-east-1,0.02
us-east-1,af-south-1,0.02
us-east-1,ap-east-1,0.02
us-east-1,ap-southeast-3,0.02
us-east-1,ap-south-1,0.02
us-east-1,ap-northeast-3,0.02
us-east-1,ap-northeast-2,0.02
us-east-1,ap-southeast-1,0.02
us-east-1,ap-southeast-2,0.02
us-east-1,ap-northeast-1,0.02
us-east-1,ca-central-1,0.02
us-east-1,eu-central-1,0.02
us-east-1,eu-west-1,0.02
us-east-1,eu-west-2,0.02
us-east-1,eu-south-1,0.02
us-east-1,eu-west-3,0.02
us-east-1,eu-south-2,0.02
us-east-1,eu-north-1,0.02
us-east-1,eu-central-2,0.02
us-east-1,me-south-1,0.02
us-east-1,me-central-1,0.02
us-east-1,sa-east-1,0.02
us-east-1,us-east-2,0.01
us-east-1,us-west-1,0.02
us-east-1,us-west-2,0.02
us-east-2,internet,0.09
us-east-2,us-gov-east-1,0.02
us-east-2,af-south-1,0.02
us-east-2,ap-east-1,0.02
us-east-2,ap-southeast-3,0.02
us-east-2,ap-south-1,0.02
us-east-2,ap-northeast-3,0.02
us-east-2,ap-northeast-2,0.02
us-east-2,ap-southeast-1,0.02
us-east-2,ap-southeast-2,0.02
us-east-2,ap-northeast-1,0.02
us-east-2,ca-central-1,0.02
us-east-2,eu-central-1,0.02
us-east-2,eu-west-1,0.02
us-east-2,eu-west-2,0.02
us-east-2,eu-south-1,0.02
us-east-2,eu-west-3,0.02
us-east-2,eu-south-2,0.02
us-east-2,eu-north-1,0.02
us-east-2,eu-central-2,0.02
us-east-2,me-south-1,0.02
us-east-2,me-central-1,0.02
us-east-2,sa-east-1,0.02
us-east-2,us-east-1,0.01
us-east-2,us-west-1,0.02
us-east-2,us-west-2,0.02
us-west-1,internet,0.09
us-west-1,us-gov-east-1,0.02
us-west-1,af-south-1,0.02
us-west-1,ap-east-1,0.02
us-west-1,ap-southeast-3,0.02
us-west-1,ap-south-1,0.02
us-west-1,ap-northeast-3,0.02
us-west-1,ap-northeast-2,0.02
us-west-1,ap-southeast-1,0.02
us-west-1,ap-southeast-2,0.02
us-west-1,ap-northeast-1,0.02
us-west-1,ca-central-1,0.02
us-west-1,eu-central-1,0.02
us-west-1,eu-west-1,0.02
us-west-1,eu-west-2,0.02
us-west-1,eu-south-1,0.02
us-west-1,eu-west-3,0.02
us-west-1,eu-south-2,0.02
us-west-1,eu-north-1,0.02
us-west-1,eu-central-2,0.02
us-west-1,me-south-1,0.02
us-west-1,me-central-1,0.02
us-west-1,sa-east-1,0.02
us-west-1,us-east-1,0.02
us-west-1,us-east-2,0.02
us-west-1,us-west-2,0.02
us-west-2,internet,0.09
us-west-2,us-gov-east-1,0.02
us-west-2,af-south-1,0.02
us-west-2,ap-east-1,0.02
us-west-2,ap-southeast-3,0.02
us-west-2,ap-south-1,0.02
us-west-2,ap-northeast-3,0.02
us-west-2,ap-northeast-2,0.02
us-west-2,ap-southeast-1,0.02
us-west-2,ap-southeast-2,0.02
us-west-2,ap-northeast-1,0.02
us-west-2,ca-central-1,0.02
us-west-2,eu-central-1,0.02
us-west-2,eu-west-1,0.02
us-west-2,eu-west-2,0.02
us-west-2,eu-south-1,0.02
us-west-2,eu-west-3,0.02
us-west-2,eu-south-2,0.02
us-west-2,eu-north-1,0.02
us-west-2,eu-central-2,0.02
us-west-2,me-south-1,0.02
us-west-2,me-central-1,0.02
us-west-2,sa-east-1,0.02
us-west-2,us-east-1,0.02
us-west-2,us-east-2,0.02
us-west-2,us-west-1,0.02
